"SYMBOL","UNIPROT"
"1","CYP26B1","Q9NR63"
"2","CYP26B1","E7ER08"
"3","FMO3","A0A024R8Z4"
"4","FMO3","P31513"
"5","FMO3","Q53FW5"
"6","FMO3","B7Z543"
"7","FMO3","B7Z3M2"
"8","ATP1A2","A0A0S2Z3W6"
"9","ATP1A2","P50993"
"10","SLC18A1","P54219"
"11","SLC18A1","Q96GL6"
"12","SIRT2","A0A0A0MRF5"
"13","SIRT2","Q8IXJ6"
"14","SIRT2","A0A024R0G8"
"15","ST6GAL1","P15907"
"16","NOS1","A0PJJ7"
"17","NOS1","B3VK56"
"18","NOS1","B4DG68"
"19","NOS1","P29475"
"20","MTAP","Q13126"
"21","PLA2G3","Q9NZ20"
"22","SLC32A1","Q9H598"
"23","RNF125","Q96EQ8"
"24","SMPD3","A8K0T6"
"25","SMPD3","Q9NY59"
"26","QPRT","B4DDH4"
"27","QPRT","Q15274"
"28","QPRT","V9HWJ5"
"29","ATP6V0A4","A0A024R791"
"30","ATP6V0A4","Q9HBG4"
"31","CYP3A5","P20815"
"32","CYP3A5","B7Z3P6"
"33","SOD3","A0A140VJU8"
"34","SOD3","P08294"
"35","MVK","B2RDU6"
"36","MVK","Q03426"
"37","MVK","B7Z301"
"38","MVK","F5H8H2"
"39","ODC1","B4DXF8"
"40","ODC1","P11926"
"41","PADI2","A0A024RA98"
"42","PADI2","Q9Y2J8"
"43","ARG1","P05089"
"44","ACAT2","Q9BWD1"
"45","SARDH","A8K596"
"46","SARDH","Q9UL12"
"47","GAL3ST1","A0A024R1D7"
"48","GAL3ST1","Q99999"
"49","GAL3ST1","B2R7S4"
"50","PXDN","Q92626"
"51","CHI3L1","A0A024R969"
"52","CHI3L1","P36222"
"53","DGKB","Q9Y6T7"
"54","HECW2","A0A2C9F2N4"
"55","HECW2","Q9P2P5"
"56","MMAB","Q96EY8"
"57","CYP1A1","A0N0X8"
"58","CYP1A1","P04798"
"59","CYP1A1","E7EMT5"
"60","ALDH1L1","O75891"
"61","ALDH1L1","Q53H87"
"62","MAT1A","Q00266"
"63","RNF144A","P50876"
"64","ACSL1","A8K9T3"
"65","ACSL1","P33121"
"66","ACSL1","B4E0R0"
"67","ACSL1","E7EPM6"
"68","TDO2","P48775"
"69","GUCY1A2","P33402"
"70","NMNAT2","Q9BZQ4"
"71","EXTL1","Q92935"
"72","GALNT14","Q96FL9"
"73","GALNT14","B7Z5C5"
"74","ACE","B4DKH4"
"75","ACE","P12821"
"76","IP6K3","A8K1M0"
"77","IP6K3","Q5TAQ4"
"78","IP6K3","Q96PC2"
"79","SLC22A15","Q8IZD6"
"80","MGMT","B4DEE8"
"81","MGMT","P16455"
"82","CYP4F11","Q9HBI6"
"83","CARNS1","A5YM72"
"84","ABO","A0A089QDC1"
"85","ABO","P16442"
"86","PLAAT3","A0A024R561"
"87","PLAAT3","P53816"
"88","SLC47A2","Q86VL8"
"89","GALNT9","J3KNN1"
"90","GALNT9","Q9HCQ5"
"91","CHST6","Q9GZX3"
"92","MARCHF11","A6NNE9"
"93","ACP7","Q6ZNF0"
"94","ACOT1","E9KL42"
"95","ACOT1","Q86TX2"
"96","ALDH1A3","A0A024RC95"
"97","ALDH1A3","P47895"
"98","ALDH1A3","H0Y2X5"
"99","ALDH1A3","Q7Z3A2"
"100","ENPP1","P22413"
"101","PLPP4","Q5VZY2"
"102","PLPP4","B7Z3R3"
"103","NEU4","B3KR54"
"104","NEU4","Q8WWR8"
"105","NEU4","Q3KR05"
